KickReturns,Sacks,Season,Team,Conference,Penalties
0,45,2012,Eagles,NFC,116.0
0,41,2012,Steelers,AFC,90.0
0,36,2012,Chargers,AFC,117.0
0,42,2012,49ers,NFC,70.0
0,27,2012,Seahawks,NFC,76.0
0,33,2012,Rams,NFC,89.0
1,33,2012,Buccaneers,NFC,87.0
1,33,2012,Titans,AFC,71.0
0,40,2012,Commanders,NFC,86.0
0,39,2013,Cardinals,NFC,117.0
1,51,2013,Falcons,NFC,104.0
0,45,2013,Ravens,AFC,107.0
0,54,2013,Bills,AFC,112.0
0,52,2013,Panthers,AFC,86.0
0,43,2013,Bears,NFC,99.0
0,39,2013,Bengals,AFC,109.0
1,38,2013,Browns,AFC,90.0
1,52,2013,Cowboys,NFC,97.0
0,54,2013,Broncos,AFC,116.0
0,52,2013,Lions,NFC,100.0
0,51,2013,Packers,NFC,93.0
0,44,2013,Texans,AFC,110.0
0,49,2013,Colts,AFC,80.0
0,47,2013,Jaguars,AFC,84.0
0,49,2013,Chiefs,AFC,97.0
1,53,2013,Dolphins,AFC,98.0
0,39,2013,Vikings,NFC,116.0
0,44,2013,Patriots,AFC,90.0
0,38,2013,Saints,NFC,93.0
1,43,2013,Giants,NFC,90.0
1,49,2013,Jets,AFC,92.0
0,39,2013,Raiders,AFC,86.0
0,50,2013,Eagles,NFC,106.0
0,39,2013,Steelers,AFC,82.0
0,38,2013,Chargers,AFC,103.0
0,45,2013,49ers,NFC,102.0
0,40,2013,Seahawks,NFC,94.0
0,38,2013,Rams,NFC,81.0
0,52,2013,Buccaneers,NFC,81.0
0,51,2013,Titans,AFC,109.0
0,51,2013,Commanders,NFC,95.0
0,20,2014,Cardinals,NFC,73.0
0,20,2014,Falcons,NFC,73.0
0,20,2014,Ravens,AFC,73.0
0,20,2014,Bills,AFC,73.0
0,20,2014,Panthers,AFC,73.0
0,20,2014,Bears,NFC,73.0
0,20,2014,Bengals,AFC,73.0
1,20,2014,Browns,AFC,73.0
0,20,2014,Cowboys,NFC,73.0
1,20,2014,Broncos,AFC,73.0
0,20,2014,Lions,NFC,73.0
0,20,2014,Packers,NFC,73.0
0,20,2014,Texans,AFC,73.0
0,20,2014,Colts,AFC,73.0
0,20,2014,Jaguars,AFC,73.0
0,20,2014,Chiefs,AFC,73.0
1,20,2014,Dolphins,AFC,73.0
1,20,2014,Vikings,NFC,73.0
1,20,2014,Patriots,AFC,73.0
0,20,2014,Saints,NFC,73.0
0,20,2014,Giants,NFC,73.0
0,20,2014,Jets,AFC,73.0
0,20,2014,Raiders,AFC,73.0
0,20,2014,Eagles,NFC,73.0
1,20,2014,Steelers,AFC,73.0
0,20,2014,Chargers,AFC,73.0
0,20,2014,49ers,NFC,73.0
0,20,2014,Seahawks,NFC,73.0
0,20,2014,Rams,NFC,73.0
0,20,2014,Buccaneers,NFC,73.0
1,20,2014,Titans,AFC,73.0
1,20,2014,Commanders,NFC,73.0
1,41,2015,Cardinals,NFC,108.0
0,36,2015,Falcons,NFC,100.0
0,30,2015,Ravens,AFC,104.0
0,26,2015,Bills,AFC,119.0
1,39,2015,Panthers,AFC,120.0
0,46,2015,Bears,NFC,109.0
0,41,2015,Bengals,AFC,117.0
1,32,2015,Browns,AFC,110.0
0,46,2015,Cowboys,NFC,106.0
0,40,2015,Broncos,AFC,106.0
0,33,2015,Lions,NFC,104.0
0,44,2015,Packers,NFC,107.0
1,41,2015,Texans,AFC,129.0
0,32,2015,Colts,AFC,122.0
0,44,2015,Jaguars,AFC,105.0
0,36,2015,Chiefs,AFC,100.0
0,34,2015,Dolphins,AFC,108.0
0,32,2015,Vikings,NFC,123.0
0,33,2015,Patriots,AFC,124.0
0,34,2015,Saints,NFC,114.0
1,41,2015,Giants,NFC,113.0
1,40,2015,Jets,AFC,113.0
0,34,2015,Raiders,AFC,120.0
0,36,2015,Eagles,NFC,120.0
0,45,2015,Steelers,AFC,127.0
0,35,2015,Chargers,AFC,131.0
0,30,2015,49ers,NFC,126.0
0,31,2015,Seahawks,NFC,113.0
1,30,2015,Rams,NFC,127.0
0,39,2015,Buccaneers,NFC,124.0
0,43,2015,Titans,AFC,103.0
0,27,2015,Commanders,NFC,108.0
0,31,2016,Cardinals,NFC,112.0
0,39,2016,Falcons,NFC,100.0
0,31,2016,Ravens,AFC,122.0
0,31,2016,Bills,AFC,134.0
1,30,2016,Panthers,AFC,121.0
0,38,2016,Bears,NFC,97.0
0,27,2016,Bengals,AFC,101.0
0,38,2016,Browns,AFC,132.0
1,33,2016,Cowboys,NFC,135.0
0,26,2016,Broncos,AFC,110.0
0,41,2016,Lions,NFC,117.0
0,25,2016,Packers,NFC,97.0
1,27,2016,Texans,AFC,101.0
1,29,2016,Colts,AFC,134.0
1,35,2016,Jaguars,AFC,106.0
0,32,2016,Chiefs,AFC,133.0
0,33,2016,Dolphins,AFC,132.0
0,40,2016,Vikings,NFC,118.0
1,36,2016,Patriots,AFC,135.0
0,30,2016,Saints,NFC,100.0
0,28,2016,Giants,NFC,101.0
0,38,2016,Jets,AFC,133.0
0,40,2016,Raiders,AFC,113.0
0,28,2016,Eagles,NFC,106.0
1,26,2016,Steelers,AFC,114.0
0,31,2016,Chargers,AFC,113.0
0,41,2016,49ers,NFC,113.0
1,26,2016,Seahawks,NFC,122.0
0,26,2016,Rams,NFC,133.0
0,39,2016,Buccaneers,NFC,134.0
0,42,2016,Titans,AFC,98.0
0,25,2016,Commanders,NFC,126.0
0,29,2017,Cardinals,NFC,121.0
1,30,2017,Falcons,NFC,124.0
0,43,2017,Ravens,AFC,131.0
1,28,2017,Bills,AFC,99.0
1,43,2017,Panthers,AFC,111.0
1,49,2017,Bears,NFC,112.0
1,29,2017,Bengals,AFC,100.0
1,30,2017,Browns,AFC,121.0
0,43,2017,Cowboys,NFC,137.0
0,40,2017,Broncos,AFC,111.0
1,47,2017,Lions,NFC,96.0
0,35,2017,Packers,NFC,96.0
0,42,2017,Texans,AFC,94.0
0,30,2017,Colts,AFC,137.0
1,25,2017,Jaguars,AFC,136.0
0,42,2017,Chiefs,AFC,102.0
1,25,2017,Dolphins,AFC,131.0
1,49,2017,Vikings,NFC,100.0
1,42,2017,Patriots,AFC,123.0
0,34,2017,Saints,NFC,126.0
0,39,2017,Giants,NFC,124.0
0,28,2017,Jets,AFC,129.0
0,43,2017,Raiders,AFC,115.0
1,29,2017,Eagles,NFC,135.0
1,36,2017,Steelers,AFC,109.0
0,46,2017,Chargers,AFC,101.0
0,44,2017,49ers,NFC,111.0
1,41,2017,Seahawks,NFC,104.0
1,32,2017,Rams,NFC,128.0
0,45,2017,Buccaneers,NFC,120.0
0,32,2017,Titans,AFC,106.0
1,34,2017,Commanders,NFC,133.0
1,32,2018,Cardinals,NFC,99.0
0,23,2018,Falcons,NFC,110.0
1,38,2018,Ravens,AFC,106.0
1,43,2018,Bills,AFC,98.0
1,30,2018,Panthers,AFC,126.0
0,21,2018,Bears,NFC,113.0
0,36,2018,Bengals,AFC,107.0
1,22,2018,Browns,AFC,99.0
0,45,2018,Cowboys,NFC,121.0
0,43,2018,Broncos,AFC,123.0
0,23,2018,Lions,NFC,113.0
0,43,2018,Packers,NFC,115.0
